# NETWORK	STATION	LOCATION	CHANNEL	STARTTIME	ENDTIME	LAT	LON	ELEVATION	DEPTH
TA	N14K	00	VHZ	2017-05-19 00:00:00	2599-12-31 23:59:59	59.9237	-161.6852	21	2
TA	N15K	00	VHZ	2017-05-20 00:00:00	2599-12-31 23:59:59	60.1686	-160.0921	449	2
TA	N16K	00	VHZ	2016-05-28 00:00:00	2599-12-31 23:59:59	60.4742	-158.769	582	2
TA	N17K	00	VHZ	2017-05-13 00:00:00	2599-12-31 23:59:59	60.5269	-157.1867	350	2
TA	N18K	00	VHZ	2015-06-13 00:00:00	2599-12-31 23:59:59	60.6801	-155.8897	572	2
TA	N19K	00	VHZ	2015-06-13 00:00:00	2599-12-31 23:59:59	60.8132	-154.4838	1144	1.8
TA	N20K	00	VHZ	2015-08-14 00:00:00	2599-12-31 23:59:59	61.2001	-152.2089	991	2
TA	N23A	00	VHZ	2008-07-05 00:00:00	2599-12-31 23:59:59	40.8947	-105.944	2458	0
TA	N25K	00	VHZ	2014-10-01 00:00:00	2599-12-31 23:59:59	61.6061	-144.5982	1087	2.4
TA	N30M	00	VHZ	2016-05-01 00:00:00	2599-12-31 23:59:59	61.4593	-137.0885	941	2
TA	N31M	00	VHZ	2016-06-06 23:00:00	2599-12-31 23:59:59	61.4862	-135.7796	716	2
TA	N32M	00	VHZ	2016-05-11 00:00:00	2599-12-31 23:59:59	61.1512	-133.0818	816	2
TA	O14K	00	VHZ	2017-05-17 00:00:00	2599-12-31 23:59:59	59.2533	-161.2638	129	2
TA	O16K	00	VHZ	2016-05-27 00:00:00	2599-12-31 23:59:59	59.5938	-158.0932	198	2
TA	O17K	00	VHZ	2016-05-29 00:00:00	2599-12-31 23:59:59	59.7733	-157.0946	156	2
TA	O18K	00	VHZ	2015-10-09 20:30:00	2599-12-31 23:59:59	59.8542	-155.208	544	2
TA	O19K	00	VHZ	2015-06-09 00:00:00	2599-12-31 23:59:59	60.1952	-154.3201	96	2.4
TA	O20A	00	VHZ	2007-11-12 00:00:00	2599-12-31 23:59:59	40.1348	-108.2416	1915	0
TA	O20K	00	VHZ	2015-06-24 00:00:00	2599-12-31 23:59:59	60.0815	-152.624	915	2
TA	O22K	00	VHZ	2014-05-21 00:00:00	2599-12-31 23:59:59	60.4814	-149.7241	140	2.4
TA	O28M	00	VHZ	2016-07-16 00:00:00	2599-12-31 23:59:59	60.7718	-140.1906	2622	3
